first_name,last_name,variant,state,purchase_freq,is_in_another_exp,result
Weldon,Garufi,A,WI,low,0,0
Abel,Chickering,B,PA,high,0,1
Kate,Gellinger,B,MD,low,0,0
Derick,Deleo,A,MI,low,1,0
Carmelina,Reitler,B,CA,low,0,0
Lai,Arias,A,OH,low,0,0
Moon,Wildfong,B,NJ,low,1,0
Brittni,Koppinger,B,HI,low,0,0
Laurel,Padilla,B,GA,low,0,0
Nan,Stem,A,CA,low,1,0
Youlanda,Gehrett,A,NJ,low,0,0
Kimbery,Scheyer,A,NJ,low,0,0
Carmelina,Breland,A,GA,low,0,0
Rikki,Kaniecki,B,FL,low,0,1
Peggie,Yum,A,CA,low,0,0
Barbra,Isaacs,B,NY,low,0,0
Avery,Isaacs,A,CT,medium,0,0
Melodie,Luczki,B,NY,low,0,0
Edna,Paa,A,MN,medium,0,0
Simona,Castros,B,FL,low,1,0
Dean,Keener,A,MI,low,1,0
Rasheeda,Malet,A,CA,low,0,1
Youlanda,Jacobos,B,OH,low,0,0
Blair,Onofrio,B,GA,low,1,0
Sherita,Crupi,A,MD,low,0,0
Sue,Canlas,B,PA,low,0,0
Marti,Zepp,A,FL,low,1,0
Izetta,Mcrae,B,AZ,low,0,0
Nichelle,Restrepo,A,CO,low,1,0
Izetta,Fillingim,A,FL,low,0,0
Deeanna,Auffrey,B,IL,low,0,0
Merissa,Loder,B,MD,low,0,0
Erick,Julia,B,TX,low,0,0
Leota,Colla,B,MI,low,0,0
Portia,Springe,A,ME,low,1,1
Ma,Fern,A,PA,low,0,1
Talia,Toyama,A,FL,low,0,0
Mireya,Rodeigues,B,MA,low,1,0
Laurel,Miro,B,DC,low,0,0
Tracey,Eschberger,B,MS,low,0,0
Estrella,Slayton,B,TN,low,0,0
Lavonna,Rauser,B,NJ,medium,0,0
Galen,Tawil,B,TX,high,0,0
Celeste,Hirpara,B,NY,low,0,1
Nu,Fishburne,A,FL,high,0,0
Alex,Dopico,A,MI,high,0,0
Pamella,Farrar,A,NJ,medium,1,0
Cecily,Saylors,A,TX,low,0,0
Kerry,Zepp,A,CA,low,0,0
Colette,Lother,B,CA,low,0,0
Arlene,Semidey,A,MI,low,0,0
Lavonda,Glick,A,NJ,low,0,0
Caitlin,Nicolozakes,B,NJ,low,1,0
Leota,Butzen,B,AK,low,0,0
Mireya,Maile,B,NY,low,0,0
Joanna,Caudy,A,AZ,low,0,0
Annmarie,Schmaltz,B,NY,low,0,0
Cyndy,Montezuma,B,TX,low,0,0
Lucy,Hamilton,B,NJ,low,1,0
Rickie,Upthegrove,A,NM,low,0,0
Jutta,Pugh,B,NY,low,0,0
Joanna,Beech,A,MD,low,1,0
Brett,Ragel,A,CA,low,0,0
Jerry,Lace,B,NY,low,0,0
Cyndy,Harnos,A,OK,low,0,0
Sharee,Nicka,A,CA,low,0,0
Kristeen,Frey,B,IL,low,0,0
James,Sweigard,B,NJ,low,1,0
Shawna,Palaspas,A,SC,low,0,0
Maile,Rantanen,A,TX,medium,0,1
Melissa,Campain,A,IN,medium,0,0
Raymon,Farrow,A,MO,low,0,0
An,Haroldson,B,OH,low,0,0
Fausto,Brossart,A,FL,low,0,0
Chauncey,Nievas,B,MI,low,0,0
Tegan,Fishburne,A,NY,high,0,0
Denise,Honeywell,A,PA,low,1,0
Rasheeda,Hagele,B,FL,low,0,0
Lezlie,Scheyer,B,IN,low,0,0
Kerry,Wide,B,FL,low,0,0
Erick,Coyier,A,FL,low,0,0
Lemuel,Manno,B,NC,low,0,0
Ma,Rochin,A,NC,medium,0,0
Jani,Briddick,A,MA,low,0,0
Golda,Klusman,A,NJ,low,0,0
Ammie,Ruta,A,WI,low,0,0
Minna,Neither,A,NJ,high,0,0
Chauncey,Rulapaugh,B,NJ,low,0,0
Josphine,Paprocki,B,NC,medium,0,0
Cyndy,Syrop,A,CA,low,0,0
Detra,Myricks,B,NC,low,1,0
Bernardine,Rochin,A,CO,low,0,0
Pamella,Flister,A,MD,low,0,0
Nobuko,Wrinkles,B,NY,low,0,0
Cyril,Hengel,A,IL,low,0,0
Noah,Perruzza,B,CA,low,0,0
Chauncey,Figeroa,B,CA,low,1,0
Lavonna,Dopico,A,TX,low,0,1
Nana,Mclaird,A,CA,low,0,0
Kanisha,Dewar,B,NY,low,0,0
Stephane,Morasca,A,NJ,low,0,0
Ressie,Worlds,A,CA,low,1,0
Frederica,Yori,B,NJ,low,0,1
Nieves,Scriven,B,NJ,low,0,0
Sylvia,Scriven,B,MD,low,0,0
Gail,Hagele,A,NJ,medium,0,0
Brett,Frankel,A,OH,low,0,0
Delmy,Asar,B,TX,low,0,0
Alex,Herritt,A,LA,high,0,0
Danica,Caudy,B,NJ,low,0,0
Annelle,Wiklund,B,FL,low,1,0
Mireya,Inouye,B,NJ,low,0,0
Rolland,Rim,B,UT,low,0,0
Alpha,Rhym,A,IN,low,0,0
Golda,Funnell,A,NJ,low,0,1
Willow,Mccullan,B,CA,low,0,0
Lenna,Brossart,A,CA,low,0,0
Sherita,Slusarski,B,MN,low,1,1
Lashawnda,Mcrae,A,TX,medium,0,0
Olive,Ehmann,A,RI,low,0,0
Cammy,Fortino,A,IN,low,0,0
Rhea,Maclead,A,CA,low,0,0
Belen,Bartolet,B,WI,low,0,1
Josphine,Koppinger,A,MA,low,0,1
Belen,Oldroyd,A,PA,low,0,0
Ty,Myricks,B,TX,low,0,0
Iluminada,Schmaltz,B,NJ,high,1,0
Geoffrey,Nicolozakes,B,FL,low,0,0
Nickolas,Cantres,B,OR,low,0,0
Cyndy,Frankel,A,TX,low,0,0
Ressie,Craghead,A,MD,low,1,0
Paris,Mastella,A,CA,low,0,0
Johnetta,Nicolozakes,B,WA,low,0,0
Vincenza,Dilliard,A,TX,low,0,0
Cristal,Mclaird,B,NC,low,0,0
Lorrine,Meisel,B,OH,low,0,0
Vilma,Villanueva,B,NY,low,0,0
Latrice,Stoltzman,A,MA,low,1,0
Aliza,Monarrez,B,NY,low,0,0
Alaine,Iturbide,A,OH,low,0,0
Lonna,Oles,B,LA,low,0,0
Kaitlyn,Maclead,A,CA,low,1,0
Shonda,Bergesen,B,MD,low,0,0
Nan,Saylors,B,CA,low,0,0
Jina,Wiklund,A,TX,low,1,0
Howard,Callaro,A,FL,low,0,0
Jina,Latzke,B,PA,low,1,0
Loren,Dilliard,B,CA,low,0,0
Junita,Dickerson,A,GA,low,0,0
Jess,Craghead,B,PA,low,0,0
Cheryl,Kusko,B,ME,low,1,1
Cyril,Hudnall,A,IL,low,0,0
Veronika,Ostolaza,B,AR,low,0,0
Joni,Samara,B,TN,low,0,0
Maryann,Lindall,B,CA,low,0,0
Yoko,Beech,A,RI,low,0,0
Carey,Upthegrove,B,TX,low,0,0
Ciara,Lietz,A,CA,medium,0,1
Elvera,Hiatt,A,OK,low,1,0
Kristel,Hauenstein,A,VA,low,1,0
Jolanda,Boord,A,IA,high,0,0
Detra,Tillotson,B,FL,low,1,0
Ezekiel,Kampa,B,MI,medium,0,0
Cecilia,Kohnert,B,VA,low,0,0
Simona,Pagliuca,A,NJ,low,0,0
Christiane,Tjepkema,B,MN,low,1,0
Jess,Lacovara,B,IL,low,0,0
Vincent,Batman,B,MN,low,0,0
Lemuel,Saylors,B,PA,low,0,0
Arlette,Shealy,A,KS,low,0,1
Delisa,Yori,B,MO,low,0,0
Elouise,Steier,B,MS,medium,0,0
Howard,Julia,A,CA,low,0,0
Benton,Shin,B,MA,low,0,0
Ciara,Keneipp,A,CA,low,0,0
